"name","slug","region_code","region_label","temp_offset","latitude","longitude","pin_order"
"Pleiku","pleiku","taynguyen","Tây Nguyên","0","13.9833","108",
"Kon Tum","kon-tum","taynguyen","Tây Nguyên","0","14.3545","108.0076",
"Đắk Nông","dak-nong","taynguyen","Tây Nguyên","0","12.0042","107.6907",
"Gia Nghĩa","gia-nghia","taynguyen","Tây Nguyên","0","12.0042","107.6907",
"Bảo Lộc","bao-loc","taynguyen","Tây Nguyên","0","11.548","107.8077",
"Hồ Chí Minh","ho-chi-minh","dongnam","Đông Nam Bộ","0","10.823","106.6296","1"
"Bình Dương","binh-duong","dongnam","Đông Nam Bộ","0","10.9805","106.6519",
"Đồng Nai","dong-nai","dongnam","Đông Nam Bộ","0","10.9447","106.8243",
"Biên Hoà","bien-hoa","dongnam","Đông Nam Bộ","0","10.9447","106.8243",
"Bà Rịa Vũng Tàu","ba-ria-vung-tau","dongnam","Đông Nam Bộ","0","10.4114","107.1362",
"Vũng Tàu","vung-tau","dongnam","Đông Nam Bộ","0","10.346","107.0843",
"Tây Ninh","tay-ninh","dongnam","Đông Nam Bộ","0","11.3103","106.0983",
"Bình Phước","binh-phuoc","dongnam","Đông Nam Bộ","0","11.7511","106.9189",
"Thủ Đức","thu-duc","dongnam","Đông Nam Bộ","0","10.8494","106.7537",
"Củ Chi","cu-chi","dongnam","Đông Nam Bộ","0","11.0067","106.5132",
"Cần Thơ","can-tho","taynam","Tây Nam Bộ","0","10.0371","105.7883",
"An Giang","an-giang","taynam","Tây Nam Bộ","0","10.3864","105.4352",
"Long Xuyên","long-xuyen","taynam","Tây Nam Bộ","0","10.3864","105.4352",
"Đồng Tháp","dong-thap","taynam","Tây Nam Bộ","0","10.4602","105.6329",
"Cao Lãnh","cao-lanh","taynam","Tây Nam Bộ","0","10.4602","105.6329",
"Tiền Giang","tien-giang","taynam","Tây Nam Bộ","0","10.36","106.36",
"Mỹ Tho","my-tho","taynam","Tây Nam Bộ","0","10.36","106.36",
"Bến Tre","ben-tre","taynam","Tây Nam Bộ","0","10.2415","106.3759",
"Vĩnh Long","vinh-long","taynam","Tây Nam Bộ","0","10.2537","105.9722",
"Trà Vinh","tra-vinh","taynam","Tây Nam Bộ","0","9.9472","106.3423",
"Sóc Trăng","soc-trang","taynam","Tây Nam Bộ","0","9.6","105.9719",
"Hậu Giang","hau-giang","taynam","Tây Nam Bộ","0","9.7844","105.4701",
"Kiên Giang","kien-giang","taynam","Tây Nam Bộ","0","10.0125","105.0809",
"Rạch Giá","rach-gia","taynam","Tây Nam Bộ","0","10.0125","105.0809",
"Phú Quốc","phu-quoc","taynam","Tây Nam Bộ","0","10.2289","103.9572",
"Bạc Liêu","bac-lieu","taynam","Tây Nam Bộ","0","9.2941","105.7278",
"Cà Mau","ca-mau","taynam","Tây Nam Bộ","0","9.1768","105.1524",
"Long An","long-an","taynam","Tây Nam Bộ","0","10.5367","106.4116",
